Taxa	trait1	trait2	trait3	trait4	trait5	trait6
30_1	-0.001837054	-0.96587057	1.40383702	-767.5728512	-3.159640783	134.4940434
30_2	0.005413406	-3.105350377	1.960805373	-264.1379592	4.37711369	268.8252705
30_3	-0.023546587	-8.886148794	9.711340226	-545.0104599	8.60465724	119.0086423
30_4	-0.01449423	-9.780209992	7.001524086	-868.9336526	5.575925609	131.4949989
30_5	-0.009123419	-5.728487204	0.575239534	-34.10396795	-4.030667271	209.6382558
30_6	-0.020503949	-3.738670492	-1.97605535	-1153.557207	4.524328101	140.9919272
30_7	-0.019462501	-11.53349883	7.247875405	-481.4435878	1.147499026	85.57036487
30_8	-0.010913377	3.46118467	-5.165941986	-671.7919625	-7.200492883	78.13905287
30_9	-0.020313115	-0.488536431	3.319448651	-790.41055	1.070441662	136.5972189
30_10	-0.016650217	-3.881103644	2.008736611	-554.4424672	-4.272648786	120.4974346
30_11	-0.024275403	-4.227161064	9.821018173	1107.633633	5.731436849	170.2827068
30_12	-0.021681415	-6.376449348	5.895079005	-92.62965977	4.200422146	282.9586089
30_13	-0.02312697	-5.183342098	6.345994433	210.5754061	9.364827096	174.5798592
30_14	-0.012188022	0.22863094	4.703538618	-726.9422671	5.738419408	134.3305455
30_15	-0.011784137	0.106426477	2.370725731	-233.6514299	1.257423013	250.6758356
30_16	-0.01508275	-6.040247503	6.01075223	1929.144848	7.781071789	249.4112181
30_17	-0.026468269	2.643834699	-2.765863513	4220.059628	-0.491190905	120.024619
30_18	-0.027976884	2.532289921	6.26839154	129.1491379	3.92684036	152.7533969
30_19	-0.008014845	3.513412065	-1.467666262	-623.0836187	-7.185431151	-147.3624628
30_20	-0.007434458	-3.324408365	-0.931639793	-1342.414313	-4.755186513	-19.7082908
30_21	-0.020246585	-7.407070644	2.851025717	-1298.704626	-7.013892822	282.8417559
30_22	-0.027011691	-5.056656208	3.793913882	822.1276356	4.019641457	200.5979477
30_23	0.009920172	2.228039962	0.467237472	682.8203422	6.245863824	148.2404594
30_24	-0.003489511	2.949131441	6.843996748	2554.991752	8.66203026	293.1231465
